year,era,team,position,finish,reached,matches,wins,draws,losses,goals_for,goals_against,gf_pg,ga_pg,gd_pg,note
1930,1930-1958,Uruguay,1.0,Champion,Final,4,4,0,0,15,3,3.75,0.75,3.0,"The very first champions, on home soil."
1930,1930-1958,Argentina,2.0,Runner-up,Final,5,4,0,1,18,9,3.6,1.8,1.8,
1930,1930-1958,United States,3.0,Third,Semi-finals,3,2,0,1,7,6,2.333,2.0,0.333,
1930,1930-1958,Yugoslavia,4.0,Field,Semi-finals,3,2,0,1,7,7,2.333,2.333,0.0,
1930,1930-1958,Belgium,,Field,Group stage,2,0,0,2,0,4,0.0,2.0,-2.0,
1930,1930-1958,Bolivia,,Field,Group stage,2,0,0,2,0,8,0.0,4.0,-4.0,
1930,1930-1958,Brazil,,Field,Group stage,2,1,0,1,5,2,2.5,1.0,1.5,
1930,1930-1958,Chile,,Field,Group stage,3,2,0,1,5,3,1.667,1.0,0.667,
1930,1930-1958,France,,Field,Group stage,3,1,0,2,4,3,1.333,1.0,0.333,
1930,1930-1958,Mexico,,Field,Group stage,3,0,0,3,4,13,1.333,4.333,-3.0,
1930,1930-1958,Paraguay,,Field,Group stage,2,1,0,1,1,3,0.5,1.5,-1.0,
1930,1930-1958,Peru,,Field,Group stage,2,0,0,2,1,4,0.5,2.0,-1.5,
1930,1930-1958,Romania,,Field,Group stage,2,1,0,1,3,5,1.5,2.5,-1.0,
1934,1930-1958,Italy,1.0,Champion,Final,4,3,1,0,11,3,2.75,0.75,2.0,
1934,1930-1958,Czechoslovakia,2.0,Runner-up,Final,4,3,0,1,9,6,2.25,1.5,0.75,
1934,1930-1958,Germany,3.0,Third,Semi-finals,4,3,0,1,11,8,2.75,2.0,0.75,
1934,1930-1958,Austria,4.0,Field,Semi-finals,4,2,0,2,7,7,1.75,1.75,0.0,
1934,1930-1958,Argentina,,Field,Round of 16,1,0,0,1,2,3,2.0,3.0,-1.0,
1934,1930-1958,Belgium,,Field,Round of 16,1,0,0,1,2,5,2.0,5.0,-3.0,
1934,1930-1958,Brazil,,Field,Round of 16,1,0,0,1,1,3,1.0,3.0,-2.0,
1934,1930-1958,Egypt,,Field,Round of 16,1,0,0,1,2,4,2.0,4.0,-2.0,
1934,1930-1958,France,,Field,Round of 16,1,0,0,1,2,3,2.0,3.0,-1.0,
1934,1930-1958,Hungary,,Field,Quarter-finals,2,1,0,1,5,4,2.5,2.0,0.5,
1934,1930-1958,Netherlands,,Field,Round of 16,1,0,0,1,2,3,2.0,3.0,-1.0,
1934,1930-1958,Romania,,Field,Round of 16,1,0,0,1,1,2,1.0,2.0,-1.0,
1934,1930-1958,Spain,,Field,Quarter-finals,2,1,1,0,4,2,2.0,1.0,1.0,
1934,1930-1958,Sweden,,Field,Quarter-finals,2,1,0,1,4,4,2.0,2.0,0.0,
1934,1930-1958,Switzerland,,Field,Quarter-finals,2,1,0,1,5,5,2.5,2.5,0.0,
1934,1930-1958,United States,,Field,Round of 16,1,0,0,1,1,7,1.0,7.0,-6.0,
1938,1930-1958,Italy,1.0,Champion,Final,4,4,0,0,11,5,2.75,1.25,1.5,
1938,1930-1958,Hungary,2.0,Runner-up,Final,4,3,0,1,15,5,3.75,1.25,2.5,
1938,1930-1958,Brazil,3.0,Third,Semi-finals,4,2,1,1,12,10,3.0,2.5,0.5,
1938,1930-1958,Sweden,4.0,Field,Semi-finals,3,1,0,2,11,9,3.667,3.0,0.667,
1938,1930-1958,Belgium,,Field,Round of 16,1,0,0,1,1,3,1.0,3.0,-2.0,
1938,1930-1958,Cuba,,Field,Quarter-finals,2,0,1,1,3,11,1.5,5.5,-4.0,
1938,1930-1958,Czechoslovakia,,Field,Quarter-finals,2,1,1,0,4,1,2.0,0.5,1.5,
1938,1930-1958,Dutch East Indies,,Field,Round of 16,1,0,0,1,0,6,0.0,6.0,-6.0,
1938,1930-1958,France,,Field,Quarter-finals,2,1,0,1,4,4,2.0,2.0,0.0,
1938,1930-1958,Germany,,Field,Round of 16,1,0,1,0,1,1,1.0,1.0,0.0,
1938,1930-1958,Netherlands,,Field,Round of 16,1,0,0,1,0,3,0.0,3.0,-3.0,
1938,1930-1958,Norway,,Field,Round of 16,1,0,0,1,1,2,1.0,2.0,-1.0,
1938,1930-1958,Poland,,Field,Round of 16,1,0,0,1,5,6,5.0,6.0,-1.0,
1938,1930-1958,Romania,,Field,Round of 16,1,0,1,0,3,3,3.0,3.0,0.0,
1938,1930-1958,Switzerland,,Field,Quarter-finals,2,0,1,1,1,3,0.5,1.5,-1.0,
1950,1930-1958,Uruguay,1.0,Champion,Final round,4,3,1,0,15,5,3.75,1.25,2.5,
1950,1930-1958,Brazil,2.0,Runner-up,Final round,6,4,1,1,22,6,3.667,1.0,2.667,
1950,1930-1958,Sweden,3.0,Third,Final round,5,2,1,2,11,15,2.2,3.0,-0.8,
1950,1930-1958,Spain,4.0,Field,Final round,6,3,1,2,10,12,1.667,2.0,-0.333,
1950,1930-1958,Bolivia,,Field,Group stage,1,0,0,1,0,8,0.0,8.0,-8.0,
1950,1930-1958,Chile,,Field,Group stage,3,1,0,2,5,6,1.667,2.0,-0.333,
1950,1930-1958,England,,Field,Group stage,3,1,0,2,2,2,0.667,0.667,0.0,
1950,1930-1958,Italy,,Field,Group stage,2,1,0,1,4,3,2.0,1.5,0.5,
1950,1930-1958,Mexico,,Field,Group stage,3,0,0,3,2,10,0.667,3.333,-2.666,
1950,1930-1958,Paraguay,,Field,Group stage,2,0,1,1,2,4,1.0,2.0,-1.0,
1950,1930-1958,Switzerland,,Field,Group stage,3,1,1,1,4,6,1.333,2.0,-0.667,
1950,1930-1958,United States,,Field,Group stage,3,1,0,2,4,8,1.333,2.667,-1.334,
1950,1930-1958,Yugoslavia,,Field,Group stage,3,2,0,1,7,3,2.333,1.0,1.333,
1954,1930-1958,West Germany,1.0,Champion,Final,6,5,0,1,25,14,4.167,2.333,1.834,The Miracle of Bern: the rare run-and-gun champion.
1954,1930-1958,Hungary,2.0,Runner-up,Final,5,4,0,1,27,10,5.4,2.0,3.4,The Mighty Magyars scored more than anyone — and still lost the final to West Germany.
1954,1930-1958,Austria,3.0,Third,Semi-finals,5,4,0,1,17,12,3.4,2.4,1.0,
1954,1930-1958,Uruguay,4.0,Field,Semi-finals,5,3,0,2,16,9,3.2,1.8,1.4,
1954,1930-1958,Belgium,,Field,Group stage,2,0,1,1,5,8,2.5,4.0,-1.5,
1954,1930-1958,Brazil,,Field,Quarter-finals,3,1,1,1,8,5,2.667,1.667,1.0,
1954,1930-1958,Czechoslovakia,,Field,Group stage,2,0,0,2,0,7,0.0,3.5,-3.5,
1954,1930-1958,England,,Field,Quarter-finals,3,1,1,1,8,8,2.667,2.667,0.0,
1954,1930-1958,France,,Field,Group stage,2,1,0,1,3,3,1.5,1.5,0.0,
1954,1930-1958,Italy,,Field,Group stage,3,1,0,2,6,7,2.0,2.333,-0.333,
1954,1930-1958,Mexico,,Field,Group stage,2,0,0,2,2,8,1.0,4.0,-3.0,
1954,1930-1958,Scotland,,Field,Group stage,2,0,0,2,0,8,0.0,4.0,-4.0,
1954,1930-1958,South Korea,,Field,Group stage,2,0,0,2,0,16,0.0,8.0,-8.0,
1954,1930-1958,Switzerland,,Field,Quarter-finals,4,2,0,2,11,11,2.75,2.75,0.0,
1954,1930-1958,Turkey,,Field,Group stage,3,1,0,2,10,11,3.333,3.667,-0.334,
1954,1930-1958,Yugoslavia,,Field,Quarter-finals,3,1,1,1,2,3,0.667,1.0,-0.333,
1958,1930-1958,Brazil,1.0,Champion,Final,6,5,1,0,16,4,2.667,0.667,2.0,
1958,1930-1958,Sweden,2.0,Runner-up,Final,6,4,1,1,12,7,2.0,1.167,0.833,
1958,1930-1958,France,3.0,Third,Semi-finals,6,4,0,2,23,15,3.833,2.5,1.333,
1958,1930-1958,West Germany,4.0,Field,Semi-finals,6,2,2,2,12,14,2.0,2.333,-0.333,
1958,1930-1958,Argentina,,Field,Group stage,3,1,0,2,5,10,1.667,3.333,-1.666,
1958,1930-1958,Austria,,Field,Group stage,3,0,1,2,2,7,0.667,2.333,-1.666,
1958,1930-1958,Czechoslovakia,,Field,Group stage,4,1,1,2,9,6,2.25,1.5,0.75,
1958,1930-1958,England,,Field,Group stage,4,0,3,1,4,5,1.0,1.25,-0.25,
1958,1930-1958,Hungary,,Field,Group stage,4,1,1,2,7,5,1.75,1.25,0.5,
1958,1930-1958,Mexico,,Field,Group stage,3,0,1,2,1,8,0.333,2.667,-2.334,
1958,1930-1958,Northern Ireland,,Field,Quarter-finals,5,2,1,2,6,10,1.2,2.0,-0.8,
1958,1930-1958,Paraguay,,Field,Group stage,3,1,1,1,9,12,3.0,4.0,-1.0,
1958,1930-1958,Scotland,,Field,Group stage,3,0,1,2,4,6,1.333,2.0,-0.667,
1958,1930-1958,Soviet Union,,Field,Quarter-finals,5,2,1,2,5,6,1.0,1.2,-0.2,
1958,1930-1958,Wales,,Field,Quarter-finals,5,1,3,1,4,4,0.8,0.8,0.0,
1958,1930-1958,Yugoslavia,,Field,Quarter-finals,4,1,2,1,7,7,1.75,1.75,0.0,
1962,1962-1982,Brazil,1.0,Champion,Final,6,5,1,0,14,5,2.333,0.833,1.5,
1962,1962-1982,Czechoslovakia,2.0,Runner-up,Final,6,3,1,2,7,7,1.167,1.167,0.0,
1962,1962-1982,Chile,3.0,Third,Semi-finals,6,4,0,2,10,8,1.667,1.333,0.334,
1962,1962-1982,Yugoslavia,4.0,Field,Semi-finals,6,3,0,3,10,7,1.667,1.167,0.5,
1962,1962-1982,Argentina,,Field,Group stage,3,1,1,1,2,3,0.667,1.0,-0.333,
1962,1962-1982,Bulgaria,,Field,Group stage,3,0,1,2,1,7,0.333,2.333,-2.0,
1962,1962-1982,Colombia,,Field,Group stage,3,0,1,2,5,11,1.667,3.667,-2.0,
1962,1962-1982,England,,Field,Quarter-finals,4,1,1,2,5,6,1.25,1.5,-0.25,
1962,1962-1982,Hungary,,Field,Quarter-finals,4,2,1,1,8,3,2.0,0.75,1.25,
1962,1962-1982,Italy,,Field,Group stage,3,1,1,1,3,2,1.0,0.667,0.333,
1962,1962-1982,Mexico,,Field,Group stage,3,1,0,2,3,4,1.0,1.333,-0.333,
1962,1962-1982,Soviet Union,,Field,Quarter-finals,4,2,1,1,9,7,2.25,1.75,0.5,
1962,1962-1982,Spain,,Field,Group stage,3,1,0,2,2,3,0.667,1.0,-0.333,
1962,1962-1982,Switzerland,,Field,Group stage,3,0,0,3,2,8,0.667,2.667,-2.0,
1962,1962-1982,Uruguay,,Field,Group stage,3,1,0,2,4,6,1.333,2.0,-0.667,
1962,1962-1982,West Germany,,Field,Quarter-finals,4,2,1,1,4,2,1.0,0.5,0.5,
1966,1962-1982,England,1.0,Champion,Final,6,5,1,0,11,3,1.833,0.5,1.333,
1966,1962-1982,West Germany,2.0,Runner-up,Final,6,4,1,1,15,6,2.5,1.0,1.5,
1966,1962-1982,Portugal,3.0,Third,Semi-finals,6,5,0,1,17,8,2.833,1.333,1.5,
1966,1962-1982,Soviet Union,4.0,Field,Semi-finals,6,4,0,2,10,6,1.667,1.0,0.667,
1966,1962-1982,Argentina,,Field,Quarter-finals,4,2,1,1,4,2,1.0,0.5,0.5,
